artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Yajaira,2000 A̱os,65BxtfUbt1vTZgrGlYFekk,1,2012,heavy-metal,0.308,0.231,0,-20.554,0,0.0353,0.00826,0.249,0.0464,0.0788,155.569,336177,4
Almafuerte,Glifosateando,51xQ0wGnOR8Sy5ce2UmVLi,21,2012,heavy-metal,0.478,0.817,5,-4.206,1,0.0297,0.00498,6.61e-05,0.428,0.501,88.011,233587,4
Almafuerte,Mamuil Mapu,64tUv2aAhLl2rZCtho95Cf,18,2012,heavy-metal,0.559,0.957,2,-3.607,1,0.0502,0.000819,3.94e-06,0.226,0.379,109.995,170173,4
Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,79,2012,hip-hop,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,386907,4
Frank Ocean,Lost,3GZD6HmiNUhxXYf8Gch723,82,2012,hip-hop,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4
Chief Keef,Love Sosa,01Lr5YepbgjXAWR9iOEyH1,80,2012,hip-hop,0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,246213,4
Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68,2012,acoustic,0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,240166,3
Jason Mraz,93 Million Miles,1s8tP3jP4GZcyHDsjvw218,50,2012,acoustic,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216387,4
Joshua Hyslop,Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,57,2012,acoustic,0.409,0.234,3,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,139.832,158960,4
